id,inst,instrument_de,instrument_fr,instrument_en,respondant_de,respondant_fr,respondant_en,type_de,type_fr,type_en,pct,plot,"label_de","label_fr","label_en"
IBf_AusmassRadikalitaet_1,Starthilfe für Projekte und Vernetzung,Innovation Booster,Innovation Booster,Innovation Booster,,,,radikale,radicale,radical,37,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
IBf_AusmassRadikalitaet_2,Starthilfe für Projekte und Vernetzung,Innovation Booster,Innovation Booster,Innovation Booster,,,,inkrementelle,incrémentale,incremental,17,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
CCf_AusmassRadikalitaet_1,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,,,,radikale,radicale,radical,55,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
IPf_AusmassDisruptivitaet_1,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,,,,disruptive,disruptive,disruptive,33,disruptiv,"Anteil der klar disruptiven Innovationsvorhaben in %","Part des projets d'innovation clairement disruptifs, en %.","Share of innovation projects that are clearly disruptive in %"
ISf_AusmassDisruptivitaet_1,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,,,,disruptive,disruptive,disruptive,31,disruptiv,"Anteil der klar disruptiven Innovationsvorhaben in %","Part des projets d'innovation clairement disruptifs, en %.","Share of innovation projects that are clearly disruptive in %"
CCf_AusmassDisruptivitaet_1,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,,,,disruptive,disruptive,disruptive,62,disruptiv,"Anteil der klar disruptiven Innovationsvorhaben in %","Part des projets d'innovation clairement disruptifs, en %.","Share of innovation projects that are clearly disruptive in %"
IPf_AusmassRadikalitaet_2,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,,,,inkrementelle,incrémentale,incremental,25,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
ISf_AusmassRadikalitaet_2,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,,,,inkrementelle,incrémentale,incremental,26,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
RPf_AusmassRadikalitaet_2,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,,,,inkrementelle,incrémentale,incremental,10,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
CCf_AusmassRadikalitaet_2,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,,,,inkrementelle,incrémentale,incremental,9,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
BDf_Nachhaltigkeit_2,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Forschende,chercheurs,researchers,ökologische Nachhaltigkeit,durabilité environnementale,environmental sustainability,39,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
BDf_Nachhaltigkeit_3,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Forschende,chercheurs,researchers,soziale Nachhaltigkeit,durabilité sociale,social sustainability,32,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
BDf_Nachhaltigkeit_1,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Forschende,chercheurs,researchers,Nachhaltigkeit,durabilité,sustainability,55,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
BDf_AusmassDigital_3,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Forschende,chercheurs,researchers,Digitale Geschäftsmodelle,modèles d'entreprise numériques,digital business models,32,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
BDf_AusmassDigital_2,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Forschende,chercheurs,researchers,Digitale Technologien,technologies numériques,digital technologies,47,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
BDf_AusmassDigital_1,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,Forschende,chercheurs,researchers,Digitalisierung,numérisation,digitisation,53,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
BDf_AusmassRadikalitaet_1,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,,,,radikale,radicale,radical,50,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
BDf_AusmassRadikalitaet_2,Förderung für Schweizer Innovationsprojekte,BRIDGE Discovery,BRIDGE Discovery,BRIDGE Discovery,,,,inkrementelle,incrémentale,incremental,3,inkr_radikal,"Anteil der klar inkrementellen oder radikalen Innovationsvorhaben, in %","Part des projets d'innovation clairement incrémentale ou radicale, en %.","Share of innovation projects that are clearly incremental or radical, in %"
