id,title,pct,"text_de","text_fr","text_en",inst,dy_text,negative,opposites,rank
ISf_ErgebnisseErreicht_1,is_project_goals,66,"der KMU erreichen ihre Projektziele vollständig oder übertreffen sie.","des PME atteignent entièrement ou dépassent les objectifs de leur projet.","of SMEs either fully achieve their project goals or exceed them.",Förderung für Schweizer Innovationsprojekte,-58,true,true,pct1
ISf_ErgebnisseErreicht_2,is_project_goals,7,"Nur 7 % erreichen ihre Ziele nicht oder nur ungenügend.","Seules 7 % n'atteignent pas leurs objectifs ou les atteignent de manière insuffisante.","Only 7 % do not achieve their goals or do not achieve them sufficiently.",Förderung für Schweizer Innovationsprojekte,0,true,true,pct2
ISf_FoParZusArbeitWeiter_1,is_wtt,71,"der KMU arbeiten nach Abschluss mit dem Forschungspartner weiter zusammen.","des PME continuent à collaborer avec le partenaire de recherche après la fin du projet.","of SMEs continue to work with the research partner after completion.",Förderung für Schweizer Innovationsprojekte,0,false,false,pct1
CCf_RK_Akquise_1,scc_capital,71,"der Start-ups haben erfolgreich Risikokapital akquiriert.","des start-ups ont réussi à lever du capital-risque.","of start-ups have successfully acquired venture capital.",Begleitung von Start-ups,0,false,false,pct1
CCf_RK_Total_1,scc_capital,20,"20 % haben über 5 Million Fr. akquiriert","20% ont levé plus de 5 millions de francs .","20 % have acquired over CHF 5 million",Begleitung von Start-ups,0,false,false,pct2
CCf_ErwartungErfuellt_2,scc_expection,86,"der Start-ups berichten, dass Ihre Erwartungen mehrheitlich erfüllt worden sind.","des start-ups rapportent que leurs attentes ont été majoritairement satisfaites.","of start-ups report that their expectations have been largely met.",Begleitung von Start-ups,0,false,false,pct1
CCf_ErwartungErfuellt_1,scc_expection,55,"Bei 55 % sind die Erwartungen vollständig erfüllt oder gar übertroffen.","Pour 55 %, les attentes ont été entièrement satisfaites, voire dépassées.","For 55%, expectations have been fully met or even exceeded.",Begleitung von Start-ups,0,false,false,pct2
CCf_GruendTeam_4,scc_foreign,66,"der Start-up-Teams haben mindestens ein Gründungsmitglied mit ausländischem Bürgerrecht.","des équipes de start-ups comptent au moins un membre fondateur de nationalité étrangère.","of start-up teams have at least one founding member with foreign citizenship. ",Begleitung von Start-ups,0,false,false,pct1
CCf_GruendTeam_3,scc_foreign,41,"Insgesamt sind durchschnittlich 41 % der Gründungsteams ausländische Mitglieder.","Au total, 41 % en moyenne des membres des équipes fondatrices sont étrangers.","Overall, an average of 41% of founding teams are foreign members.",Begleitung von Start-ups,0,false,false,pct2
CCf_GruendTeam_2,scc_gender,36,"der Start-up-Teams haben mindestens eine weibliche Gründerin.","des équipes de start-ups comptent au moins une fondatrice.","of start-up teams have at least one female founder.",Begleitung von Start-ups,0,false,false,pct1
CCf_GruendTeam_1,scc_gender,17,"Insgesamt sind durchschnittlich 17 % der Gründungsteams Frauen.","Au total, 17 % en moyenne des membres des équipes fondatrices sont des femmes.","Overall, an average of 17 % of start-up teams are women.",Begleitung von Start-ups,0,false,false,pct2
CCf_EPhase2024_1,scc_market,72,"sind nach Coachingabschluss auf dem Markt oder planen dies in 12 Monaten.","sont sur le marché ou prévoient de l'être dans les 12 mois suivant la fin du coaching.","are on the market after the coaching has ended or plan to be in 12 months.",Begleitung von Start-ups,0,false,false,pct1
CCf_Neuheitslevel_1,scc_new_to_market,82,"der Start-ups entwickeln eine Neuheit für internationale Märkte.","des start-ups développent une nouveauté pour les marchés internationaux.","of start-ups develop a novelty for international markets.",Begleitung von Start-ups,0,false,false,pct1
CCf_AusmassDisruptivitaet_1,scc_new_to_market,62,"62 % der Start-ups verfolgen disruptive Innovationen.","62 % des start-ups poursuivent des innovations disruptives.","62 % of start-ups pursue disruptive innovations.",Begleitung von Start-ups,0,false,false,pct2
CCf_PropertyRights_1,scc_patent,75,"der Start-ups mit Patenten oder Patentanmeldungen (geplant und erfolgt).","des start-ups ont déposé des brevets ou des demandes de brevet (prévues ou réalisées).","of start-ups have patents or patent applications (planned or in progress).",Begleitung von Start-ups,0,false,false,pct1
CCi_BreakEvenErzielt_1,scc_profitable,30,"der Start-ups sind drei Jahre nach Abschluss des Coachings profitabel (Break-even).","des start-ups sont rentables (« break-even ») trois ans après la fin du coaching.","of start-ups are profitable (break-even) three years after the coaching has ended.",Begleitung von Start-ups,0,false,false,pct1
CCf_BreakEvenErzielt_1,scc_profitable,10,"Direkt bei Abschluss sind es 10 %.","10 % le sont dès la fin du coaching.","Immediately after completion, the figure is 10%.",Begleitung von Start-ups,0,false,false,pct2
CCf_AusmassRadikalitaet_1,scc_radikal_inkr,55,"der Start-ups verfolgen radikale Innovationen.","des start-ups poursuivent des innovations radicales.","of start-ups pursue radical innovations.",Begleitung von Start-ups,0,false,true,pct1
CCf_AusmassRadikalitaet_2,scc_radikal_inkr,9,"9 % inkrementelle Innovationen.","9 % des innovations incrémentales.","9 % pursue incremental innovations.",Begleitung von Start-ups,0,false,true,pct2
CCf_ThematicArea,scc_sector,51,"der Start-ups sind im Themengebiet «Life Sciences, Medtech und Health Care» tätig.","des start-ups sont actives dans le domaine thématique « Sciences de la vie, technologie médicale et soins de santé ».","of start-ups operate in the field of life sciences, medtech and health care.",Begleitung von Start-ups,0,false,false,pct1
CCf_Spinoff_2,scc_start_spin,52,"der Start-ups sind aus Forschungsinstituten gegründet worden.","des start-ups ont été créées à partir d'institutions de recherche.","of start-ups have been founded by research institutes.",Begleitung von Start-ups,0,false,false,pct1
CCf_Spinoff_1,scc_start_spin,34,"34 % sind Spin-offs, welche die Eigentumsrechte explizit geregelt haben.","34% sont des spin-offs qui ont explicitement réglé les droits de propriété.","34% are spin-offs that have explicitly regulated ownership rights.",Begleitung von Start-ups,0,false,false,pct2
CCf_HilfreichVereinbart_18,scc_support,77,"der Start-ups berichten, dass das Coaching in min. einem Bereich einen wichtigen Beitrag geleistet hat.","des start-ups rapportent que le coaching a apporté une contribution importante dans au moins un domaine.","of start-ups report that the coaching has made an important contribution in at least one area.",Begleitung von Start-ups,0,false,false,pct1
CCf_HilfreichVereinbart_17,scc_support,55,"Bei 55 % hat das Coaching in min. drei Bereichen einen wichtigen Beitrag geleistet.","Pour 55 %, le coaching a apporté une contribution importante dans au moins trois domaines.","For 55% of start-ups, coaching has made an important contribution in at least three areas.",Begleitung von Start-ups,0,false,false,pct2
